source,ID,species,loc_sure,lon,lat,altitude,family,subfam,dom,mon_dicot,pft,phototype,collect_area,regio,country,location,continent,C25,C27,C29,C31,C33,C35,ACL,CPI,,notes
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.686,-3.323,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.022,0.099,0.264,0.535,0.068,0.012,30.128,4.34,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.686,-3.323,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.175,0.423,0.365,0.038,0,29.561,7.15,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.686,-3.323,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.267,0.353,0.345,0.035,0,29.296,8.84,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.686,-3.323,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.001,0.01,0.426,0.544,0.019,0,30.14,17.13,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.686,-3.323,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.504,0.358,0.138,0,0,28.268,2.74,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.686,-3.323,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.443,0.324,0.233,0,0,28.58,5.8,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.686,-3.323,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.134,0.476,0.39,0,0,29.512,NaN,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.009,0.1,0.482,0.377,0.026,0.005,29.623,14.38,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.011,0.035,0.468,0.454,0.029,0.004,29.963,9.82,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.017,0.046,0.421,0.473,0.038,0.005,29.968,9.67,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.023,0.199,0.339,0.37,0.057,0.011,29.515,5.13,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.031,0.065,0.329,0.48,0.07,0.024,30.101,3.53,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.002,0.009,0.381,0.577,0.03,0.001,30.254,13.77,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.25,0.354,0.362,0.033,0,29.327,12.15,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.011,0.422,0.545,0.022,0,30.156,NaN,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.117,0.341,0.527,0.016,0,29.913,24.39,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.31,0.397,0.293,0,0,28.966,6.42,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.133,0.362,0.489,0.016,0,29.776,11.7,,
Griepentrog et al. (2019),,Grewia tephrodermis,Y,37.683,-3.306,,Tiliaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.245,0.316,0.439,0,0,29.388,1.82,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.013,0.132,0.702,0.138,0.014,0.001,29.022,14.81,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.026,0.126,0.653,0.173,0.02,0.001,29.047,9.68,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.022,0.118,0.617,0.198,0.04,0.004,29.227,9.73,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.007,0.147,0.721,0.113,0.01,0.001,28.921,24.39,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.007,0.096,0.727,0.154,0.015,0.001,29.154,27.41,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.007,0.104,0.7,0.167,0.019,0.002,29.157,24.44,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.007,0.221,0.663,0.1,0.009,0.001,28.801,31.29,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.009,0.095,0.699,0.172,0.024,0.002,29.255,13.47,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.01,0.103,0.677,0.186,0.023,0.002,29.259,15.6,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.148,0.727,0.114,0.01,0,28.943,NaN,,
Griepentrog et al. (2019),,Euphorbia tirucalli,Y,37.686,-3.323,,Euphorbiaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.148,0.727,0.114,0.01,0,28.943,NaN,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.008,0.057,0.571,0.357,0.007,0,29.596,9.41,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.008,0.054,0.527,0.4,0.011,0,29.704,9.52,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.006,0.056,0.526,0.402,0.011,0,29.741,8.71,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.025,0.134,0.533,0.291,0.013,0.004,29.29,5.23,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.042,0.284,0.364,0.279,0.03,0,28.913,2.66,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.04,0.244,0.372,0.314,0.03,0,29.1,3.01,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.252,0.476,0.234,0.038,0,29.116,2.67,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.182,0.518,0.27,0.03,0,29.296,3.99,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.074,0.574,0.342,0.011,0,29.609,10.06,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.118,0.674,0.206,0.002,0,29.184,15.77,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.116,0.632,0.245,0.006,0,29.253,12.69,,
Griepentrog et al. (2019),,Maerua sp.,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.111,0.616,0.267,0.006,0,29.336,11.72,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.073,0.238,0.502,0.143,0.041,0.003,28.7,2.31,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.106,0.246,0.421,0.188,0.036,0.004,28.657,2.48,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.055,0.189,0.59,0.156,0.01,0,28.754,1.5,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.045,0.17,0.603,0.17,0.011,0,28.835,2.68,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.038,0.129,0.494,0.287,0.042,0.011,29.427,2.64,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.226,0.509,0.265,0,0,29.078,2.66,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.139,0.181,0.312,0.295,0.061,0.012,28.988,2.2,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.275,0.43,0.241,0.054,0,29.148,2.05,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.363,0.473,0.164,0,0,28.602,1.86,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.357,0.467,0.176,0,0,28.638,2.59,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.686,-3.323,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.105,0.028,0.481,0.294,0.06,0.031,29.509,1.82,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.077,0.194,0.476,0.208,0.038,0.005,28.844,3.78,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.09,0.164,0.473,0.234,0.034,0.006,28.981,3.07,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.093,0.154,0.434,0.266,0.045,0.008,29.08,3.31,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.069,0.21,0.531,0.131,0.034,0.025,28.852,1.6,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.092,0.173,0.525,0.147,0.034,0.03,28.925,2.1,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.054,0.157,0.525,0.201,0.037,0.026,29.176,2.02,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.24,0.588,0.16,0.013,0,28.921,1.87,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.187,0.574,0.218,0.022,0,29.179,2.16,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.189,0.544,0.238,0.029,0,29.214,2.04,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.199,0.418,0.383,0,0,29.368,NaN,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.066,0.157,0.316,0.36,0.094,0.007,29.56,4.34,,
Griepentrog et al. (2019),,Thylachium africanum,Y,37.712,-3.314,,Capparaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0,0,1,0,0,31,NaN,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.008,0.011,0.134,0.523,0.322,0.003,31.327,9.76,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.007,0.011,0.088,0.458,0.432,0.005,31.653,9.11,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.006,0.008,0.071,0.452,0.459,0.004,31.724,9.61,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.006,0.027,0.212,0.452,0.298,0.006,31.083,6.11,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.004,0.017,0.154,0.405,0.41,0.01,31.46,5.92,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0.003,0.012,0.142,0.399,0.433,0.011,31.56,6.3,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.076,0.212,0.43,0.282,0,30.836,4.37,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.019,0.16,0.459,0.362,0,31.328,7.99,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.02,0.118,0.39,0.472,0,31.628,7.3,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0,0.251,0.409,0.34,0,31.178,14.26,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0,0.229,0.473,0.298,0,31.138,NaN,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.686,-3.323,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Kenya,East,Africa,0,0.012,0.171,0.455,0.363,0,31.367,9.25,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.018,0.018,0.146,0.47,0.344,0.004,31.232,7.99,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.011,0.018,0.174,0.274,0.518,0.005,31.57,6.04,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.01,0.012,0.105,0.465,0.404,0.004,31.506,7.95,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.006,0.013,0.17,0.457,0.348,0.006,31.292,5.64,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.008,0.139,0.443,0.403,0.007,31.524,5.62,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.011,0.122,0.477,0.385,0.004,31.467,6.64,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.018,0.2,0.45,0.331,0,31.159,5.66,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.01,0.103,0.481,0.406,0,31.566,7.43,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.001,0.007,0.11,0.543,0.332,0.006,31.403,6.32,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.001,0.007,0.11,0.543,0.332,0.006,31.403,6.32,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0,0.251,0.409,0.34,0,31.178,NaN,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0,0.104,0.475,0.421,0,31.634,9.91,,
Griepentrog et al. (2019),,Vepris uguenensis,Y,37.683,-3.306,,Rutaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0,0.081,0.431,0.489,0,31.847,9.55,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.005,0.17,0.815,0.008,0.002,0,28.664,9.16,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.007,0.173,0.808,0.01,0.002,0,28.654,8.32,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.008,0.166,0.806,0.016,0.005,0,28.717,8.75,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.002,0.011,0.385,0.571,0.03,0.001,30.238,13.29,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.034,0.366,0.545,0.045,0.01,30.262,5.49,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0.001,0.01,0.363,0.593,0.032,0.001,30.296,13.64,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.307,0.684,0.008,0,0,28.373,9.63,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.3,0.666,0.024,0.01,0,28.488,7.33,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.331,0.644,0.025,0,0,28.388,3.91,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.035,0.369,0.55,0.045,0,30.181,NaN,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.035,0.369,0.55,0.045,0,30.181,NaN,,
Griepentrog et al. (2019),,Ximenia americana,Y,37.683,-3.306,,Olacaceae,,A,D,Shrub,C3,,Lake Challa,Tanzania,East,Africa,0,0.035,0.369,0.55,0.045,0,30.181,NaN,,
Kristen et al. (2010),,Acacia karroo ,Y,28.08,-25.408,,Fabaceae,,A,D,Shrub,C3,,,South Africa,South,Africa,0.089,0.202,0.468,0.242,0,0,28.753,NaN,,
Kristen et al. (2010),,Acacia tortilis,Y,28.08,-25.408,,Fabaceae,,A,D,Shrub,C3,,,South Africa,South,Africa,0.012,0.102,0.8,0.085,0,0,28.889,NaN,,
Kristen et al. (2010),,Acacia robusta,Y,28.08,-25.408,,Fabaceae,,A,D,Shrub,C3,,,South Africa,South,Africa,0.04,0.126,0.429,0.323,0.081,0,29.529,NaN,,
Sonibare et al. (2007),,Anthocleista djalonensis,Y,3.947,7.3775,,Loganiaceae,,A,D,Shrub,C3,,Ibadan Oyo State,Nigeria,West,Africa,0.534,0.023,0.026,0.088,0.237,0.093,28.529,2.61,,
Sonibare et al. (2007),,Anthocleista nobilis,Y,3.947,7.3775,,Loganiaceae,,A,D,Shrub,C3,,Ibadan Oyo State,Nigeria,West,Africa,0.251,0.051,0.046,0.069,0.181,0.402,31.168,0.68,,
Sonibare et al. (2007),,Anthocleista vogelii,Y,3.947,7.3775,,Loganiaceae,,A,D,Shrub,C3,,Ibadan Oyo State,Nigeria,West,Africa,0.329,0.036,0.028,0.05,0.424,0.133,30.206,2.08,,
This Study,KU587,Salvadora persica 2001 October 06,Y,37.528,0.5683,,Salvadoraceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0508,0.1329,0.2082,0.512,0.0908,0.0052,29.9496,7.982,,
This Study,KU605,Salsola dendroides 2001 October 10,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.5139,0.3704,0.1043,0.0094,0.002,0,26.2303,10.86,,
This Study,KU606,Salsola dendroides 2001 November 5,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.5367,0.3731,0.0836,0.0056,0.001,0,26.1223,6.556,,
This Study,KU607,Salsola dendroides 2001 December 3,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.4103,0.3852,0.1412,0.0552,0.0075,0.0008,26.7334,9.835,,
This Study,KU608,Salsola dendroides 2002 January 9,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.4877,0.3079,0.1551,0.0434,0.0055,0.0003,26.5443,13.777,,
This Study,KU609,Salsola dendroides 2002 February 7,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.5709,0.308,0.1041,0.0148,0.0022,0,26.1389,13.396,,
This Study,KU610,Salsola dendroides 2002 March 2,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.5026,0.3356,0.1385,0.0186,0.0046,0,26.3739,3.399,,
This Study,KU611,Salsola dendroides 2002 April 14,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.2588,0.2577,0.2379,0.2073,0.0372,0.0011,28.0195,5.316,,
This Study,KU612,Salsola dendroides 2002 May 7,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.2766,0.3044,0.206,0.1815,0.0309,0.0006,27.7748,8.077,,
This Study,KU613,Salsola dendroides 2002 June 2,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.4685,0.3811,0.1133,0.0296,0.0057,0.0018,26.4567,5.924,,
This Study,KU614,Salsola dendroides 2002 July 5,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.4505,0.4019,0.1307,0.0123,0.0037,0.0009,26.4391,7.401,,
This Study,KU615,Salsola dendroides 2002 August 2,N,37.528,0.5683,,Amaranthaceae,,A,D,Shrub,C4,,SNR,Kenya,East,Africa,0.5631,0.3159,0.1074,0.0115,0.0022,0,26.1476,7.906,,
This Study,KU619,Grewia tenax 2001 October 6,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.1962,0.1306,0.4109,0.2489,0.0133,0,28.505,8.04,,
This Study,KU620,Grewia tenax 2001 November 1,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.1743,0.19,0.4186,0.2015,0.0156,0,28.3883,5.339,,
This Study,KU621,Grewia tenax 2001 December 4,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0984,0.0454,0.4016,0.416,0.0358,0.0028,29.5074,4.051,,
This Study,KU622,Grewia tenax 2002 January 5,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.1358,0.0933,0.3714,0.3685,0.0288,0.0021,29.1349,17.578,,
This Study,KU623,Grewia tenax 2002 February 5,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.0747,0.1384,0.4123,0.3489,0.0247,0.001,29.2272,8.238,,
This Study,KU624,Grewia tenax 2002 March 1,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.2451,0.2294,0.2752,0.2292,0.0196,0.0016,28.107,2.432,,
This Study,KU625,Grewia tenax 2002 April 7,N,37.528,0.5683,,Malvaceae,,A,D,Shrub,C3,,SNR,Kenya,East,Africa,0.2158,0.2211,0.3007,0.2365,0.0236,0.0023,28.2764,2.466,,
